Employee_ID,Last_Working_Date,Reason_For_Leaving
24254,13-08-2023,Unknown
9908,05-01-2025,Relocation
40834,01-10-2023,Retirement
17420,04-10-2025,Unknown
6974,08-09-2022,Relocation
32240,19-03-2019,Unknown
32693,26-10-2024,Personal Reasons
10123,10-04-2019,Better Opportunity
14603,09-05-2022,Personal Reasons
3011,04-01-2019,Unknown
45280,15-02-2018,Retirement
28417,18-05-2025,Better Opportunity
28592,17-04-2025,Personal Reasons
7382,04-06-2025,Retirement
48343,21-07-2023,Personal Reasons
47720,11-07-2025,Personal Reasons
34511,09-07-2025,Personal Reasons
4665,09-01-2025,Better Opportunity
17028,30-09-2025,Relocation
8828,10-07-2020,Better Opportunity
5311,01-03-2025,Retirement
12232,07-02-2025,Personal Reasons
35232,11-08-2018,Relocation
11271,22-08-2025,Retirement
35937,18-02-2023,Retirement
29090,24-07-2023,Better Opportunity
31292,13-05-2024,Better Opportunity
35961,12-02-2025,Retirement
5743,14-07-2025,Unknown
6010,13-06-2024,Retirement
34037,07-05-2025,Personal Reasons
10167,16-07-2024,Personal Reasons
17502,24-07-2021,Better Opportunity
7924,17-09-2024,Better Opportunity
42865,03-02-2022,Better Opportunity
31772,04-08-2024,Retirement
40022,14-04-2018,Unknown
40670,25-04-2023,Unknown
14989,19-05-2019,Relocation
39593,03-07-2024,Relocation
34751,16-01-2022,Personal Reasons
30509,22-01-2024,Unknown
29617,11-09-2025,Relocation
3744,17-07-2021,Retirement
14294,27-07-2023,Retirement
10353,02-01-2023,Unknown
3443,07-02-2025,Personal Reasons
42939,22-06-2023,Personal Reasons
29245,02-11-2023,Unknown
37605,15-02-2019,Better Opportunity
9855,30-10-2022,Better Opportunity
24145,11-06-2023,Better Opportunity
7253,21-06-2025,Unknown
40505,06-01-2024,Retirement
19640,23-10-2022,Retirement
49568,09-01-2025,Relocation
9595,19-03-2021,Better Opportunity
4370,14-02-2020,Personal Reasons
3223,18-06-2024,Unknown
18943,16-05-2023,Better Opportunity
49938,10-08-2025,Better Opportunity
27585,24-12-2022,Unknown
40430,23-04-2025,Unknown
26925,31-08-2022,Unknown
5176,08-10-2023,Relocation
45926,11-02-2025,Retirement
12650,21-02-2025,Relocation
47547,08-11-2024,Better Opportunity
17497,10-08-2022,Personal Reasons
4499,06-01-2024,Retirement
46687,23-07-2020,Better Opportunity
8888,04-07-2025,Personal Reasons
11384,29-08-2023,Unknown
7816,29-04-2024,Unknown
32386,12-05-2023,Personal Reasons
10245,05-07-2022,Better Opportunity
9528,27-12-2023,Retirement
1766,13-06-2022,Relocation
41542,22-04-2025,Retirement
3630,31-08-2022,Better Opportunity
28706,28-04-2021,Personal Reasons
11775,20-03-2023,Better Opportunity
49006,20-07-2019,Better Opportunity
44769,28-12-2020,Better Opportunity
49075,04-08-2024,Better Opportunity
9619,02-10-2023,Better Opportunity
26167,07-12-2024,Unknown
17832,24-11-2022,Relocation
14124,21-07-2024,Relocation
17613,30-04-2025,Better Opportunity
47624,30-08-2025,Personal Reasons
47763,15-11-2024,Personal Reasons
19548,03-12-2024,Better Opportunity
10045,05-04-2025,Retirement
39550,02-05-2024,Personal Reasons
47586,22-08-2025,Unknown
2626,20-09-2025,Unknown
40049,15-01-2025,Better Opportunity
16000,06-08-2025,Better Opportunity
39911,08-09-2023,Retirement
46132,20-07-2018,Unknown
47347,04-05-2020,Personal Reasons
43972,06-10-2025,Relocation
26570,09-05-2025,Retirement
31973,24-06-2022,Personal Reasons
44170,02-05-2025,Better Opportunity
21228,26-10-2022,Unknown
3216,17-11-2022,Retirement
48476,13-11-2022,Retirement
31009,03-04-2024,Unknown
17919,21-03-2025,Retirement
10369,28-09-2025,Relocation
41401,06-09-2018,Retirement
43400,08-07-2024,Better Opportunity
7372,21-09-2025,Relocation
8978,08-11-2023,Personal Reasons
22086,25-06-2025,Unknown
9635,21-09-2025,Personal Reasons
7978,28-04-2019,Better Opportunity
21962,29-01-2021,Personal Reasons
37115,15-03-2025,Unknown
38900,26-11-2024,Relocation
33385,26-05-2025,Personal Reasons
25448,15-04-2020,Better Opportunity
19880,25-09-2025,Personal Reasons
42774,15-08-2024,Retirement
36701,28-03-2025,Relocation
21269,07-10-2024,Personal Reasons
1473,16-03-2021,Relocation
25061,29-04-2024,Retirement
13191,22-06-2025,Relocation
18799,12-05-2021,Relocation
22122,14-10-2024,Unknown
36694,17-06-2025,Better Opportunity
38018,16-05-2024,Retirement
21751,15-10-2024,Retirement
27620,06-06-2024,Better Opportunity
16867,14-02-2021,Relocation
45492,04-07-2023,Better Opportunity
44338,24-08-2024,Retirement
27684,17-10-2021,Personal Reasons
42402,13-08-2025,Relocation
17101,25-04-2023,Retirement
19768,02-05-2024,Retirement
45310,29-11-2021,Relocation
37687,06-07-2022,Relocation
18556,02-06-2022,Retirement
4553,05-07-2025,Retirement
2405,03-02-2024,Retirement
7299,29-05-2020,Unknown
8205,10-05-2025,Retirement
31739,05-01-2021,Personal Reasons
49798,15-08-2025,Relocation
30870,19-07-2025,Relocation
20052,12-10-2025,Retirement
10015,04-10-2023,Better Opportunity
43098,15-01-2025,Unknown
43922,18-06-2025,Relocation
23953,22-11-2024,Retirement
26346,23-11-2023,Better Opportunity
41629,05-12-2019,Retirement
29951,26-03-2023,Unknown
6332,09-01-2021,Retirement
12037,07-01-2023,Personal Reasons
15215,24-08-2024,Retirement
26127,22-04-2024,Personal Reasons
1565,29-04-2025,Personal Reasons
47651,26-02-2024,Relocation
23634,13-08-2024,Relocation
33897,29-03-2025,Personal Reasons
38499,15-07-2024,Unknown
30794,09-04-2020,Personal Reasons
11653,22-01-2020,Relocation
20534,23-05-2025,Unknown
21483,30-08-2024,Better Opportunity
30361,25-02-2025,Personal Reasons
15901,01-02-2025,Personal Reasons
39802,07-10-2025,Relocation
46251,06-10-2025,Personal Reasons
43514,20-08-2020,Better Opportunity
13183,28-03-2024,Better Opportunity
33399,01-04-2023,Better Opportunity
40119,02-10-2020,Retirement
852,31-08-2018,Relocation
45034,20-02-2025,Relocation
42526,11-04-2025,Retirement
11042,19-07-2024,Retirement
42913,24-03-2024,Relocation
36948,23-02-2022,Retirement
3281,03-08-2025,Personal Reasons
30572,04-09-2022,Better Opportunity
21950,11-05-2021,Better Opportunity
30594,14-02-2023,Personal Reasons
12288,25-07-2020,Unknown
30275,19-06-2024,Personal Reasons
46717,21-05-2022,Retirement
34311,09-03-2023,Retirement
1135,19-10-2018,Better Opportunity
2052,13-06-2025,Relocation
12653,07-08-2024,Retirement
4739,22-06-2025,Retirement
39924,25-01-2022,Relocation
5778,16-11-2018,Personal Reasons
32554,23-06-2025,Retirement
20276,09-02-2025,Relocation
12984,17-04-2023,Relocation
26114,15-05-2025,Unknown
22836,09-07-2024,Unknown
6317,24-03-2020,Retirement
10778,11-10-2024,Retirement
43849,05-07-2025,Unknown
47706,06-02-2020,Unknown
29377,18-01-2025,Unknown
27883,09-04-2025,Relocation
5387,05-06-2025,Better Opportunity
17385,08-07-2023,Better Opportunity
26657,14-03-2025,Retirement
41876,08-02-2022,Unknown
28500,23-04-2022,Retirement
26629,27-01-2025,Unknown
35192,05-10-2023,Personal Reasons
3995,30-05-2025,Better Opportunity
19991,06-10-2025,Better Opportunity
36553,08-09-2025,Better Opportunity
40999,12-03-2025,Better Opportunity
27481,26-05-2024,Personal Reasons
32959,14-01-2017,Personal Reasons
40713,01-07-2019,Relocation
12213,27-05-2022,Relocation
15003,08-04-2025,Relocation
13027,06-05-2025,Retirement
8633,11-01-2025,Personal Reasons
25774,05-01-2018,Unknown
25875,27-12-2023,Better Opportunity
46070,29-07-2025,Retirement
42578,14-05-2025,Relocation
25099,30-08-2023,Relocation
23839,20-05-2024,Unknown
33649,15-07-2024,Personal Reasons
44134,31-08-2025,Better Opportunity
47343,06-12-2024,Retirement
26468,13-02-2023,Personal Reasons
16648,13-09-2024,Relocation
14590,27-01-2016,Relocation
40445,24-01-2024,Retirement
22382,30-05-2024,Better Opportunity
12634,16-07-2022,Relocation
29381,27-12-2019,Unknown
9804,13-08-2025,Personal Reasons
1187,25-09-2025,Retirement
9937,28-04-2024,Better Opportunity
14420,29-04-2021,Personal Reasons
19230,31-01-2022,Retirement
18384,17-03-2022,Relocation
34330,26-08-2020,Better Opportunity
11019,20-04-2024,Retirement
44825,31-08-2025,Relocation
20930,31-08-2025,Retirement
33240,03-04-2024,Personal Reasons
31573,29-03-2020,Unknown
15050,25-12-2023,Personal Reasons
34292,18-05-2025,Retirement
4200,23-01-2025,Unknown
11071,10-07-2025,Better Opportunity
2431,09-05-2024,Relocation
1961,30-07-2025,Better Opportunity
44221,21-02-2025,Better Opportunity
45925,28-09-2025,Retirement
14306,17-09-2025,Relocation
7778,19-05-2025,Retirement
39658,11-06-2017,Unknown
20139,25-03-2025,Unknown
4105,30-12-2019,Unknown
14148,19-05-2021,Better Opportunity
11714,16-08-2025,Retirement
40143,24-01-2023,Unknown
26529,15-06-2024,Better Opportunity
9493,31-10-2022,Better Opportunity
14388,12-03-2025,Relocation
34283,11-08-2019,Personal Reasons
28122,17-09-2024,Retirement
9715,04-04-2025,Personal Reasons
31575,06-11-2021,Relocation
34595,06-11-2024,Personal Reasons
26349,01-06-2022,Unknown
9936,01-03-2019,Unknown
32537,08-03-2025,Unknown
47733,05-10-2025,Unknown
37382,20-01-2025,Unknown
31800,15-05-2024,Better Opportunity
12888,21-02-2024,Retirement
9066,01-09-2025,Better Opportunity
10569,03-11-2024,Retirement
40218,07-03-2024,Personal Reasons
30913,14-02-2023,Better Opportunity
43086,27-06-2025,Retirement
32118,23-04-2021,Relocation
35721,13-05-2025,Personal Reasons
47966,12-10-2025,Personal Reasons
36321,21-01-2022,Personal Reasons
12473,28-11-2023,Retirement
10825,19-12-2021,Retirement
10970,29-05-2025,Relocation
35968,24-05-2021,Relocation
40530,08-07-2020,Personal Reasons
22328,13-10-2023,Relocation
30809,26-02-2025,Personal Reasons
19440,01-05-2019,Better Opportunity
27334,01-12-2024,Personal Reasons
43237,26-05-2024,Retirement
37328,15-04-2025,Retirement
13559,12-08-2024,Relocation
49165,04-11-2019,Personal Reasons
32595,11-03-2025,Unknown
21855,23-01-2022,Retirement
21393,04-07-2024,Retirement
18857,05-02-2025,Better Opportunity
47131,13-07-2024,Unknown
37100,28-12-2019,Unknown
20834,20-08-2020,Better Opportunity
21611,24-02-2022,Unknown
13239,29-08-2025,Unknown
7611,07-11-2022,Better Opportunity
43489,05-03-2024,Unknown
10217,11-12-2024,Personal Reasons
28279,27-08-2022,Personal Reasons
45493,04-07-2020,Unknown
22407,05-11-2024,Retirement
44670,03-04-2023,Personal Reasons
15309,01-10-2025,Unknown
36732,05-01-2024,Relocation
10882,24-07-2020,Relocation
21522,22-06-2019,Personal Reasons
34831,28-01-2025,Relocation
8110,05-10-2025,Relocation
19158,10-07-2025,Retirement
35707,16-09-2019,Relocation
46259,04-09-2025,Relocation
38010,12-08-2025,Unknown
41762,09-01-2025,Relocation
28382,03-12-2023,Retirement
40080,22-09-2023,Unknown
42112,17-07-2025,Retirement
11119,26-09-2024,Personal Reasons
942,10-08-2020,Personal Reasons
48771,12-10-2025,Unknown
1391,01-11-2022,Relocation
34894,07-09-2025,Retirement
31045,19-09-2023,Unknown
25281,25-05-2020,Better Opportunity
27834,28-04-2025,Retirement
11215,19-05-2024,Retirement
29879,27-08-2020,Personal Reasons
42587,27-04-2024,Personal Reasons
10129,14-05-2025,Personal Reasons
3747,13-08-2023,Unknown
27583,30-05-2022,Better Opportunity
13766,22-11-2024,Better Opportunity
28539,16-07-2025,Unknown
47480,06-09-2020,Relocation
28053,25-02-2021,Retirement
19411,08-09-2019,Personal Reasons
35300,08-09-2019,Retirement
33345,17-09-2025,Personal Reasons
43464,02-05-2025,Relocation
4681,15-01-2023,Personal Reasons
39439,30-01-2021,Retirement
34672,10-03-2021,Retirement
46252,03-09-2024,Unknown
239,05-10-2019,Unknown
41823,20-12-2019,Personal Reasons
7305,17-05-2024,Better Opportunity
16484,19-11-2022,Retirement
18887,03-09-2025,Better Opportunity
10716,29-08-2023,Better Opportunity
13858,08-10-2025,Better Opportunity
16114,02-10-2025,Unknown
41006,20-05-2025,Better Opportunity
12524,21-01-2025,Unknown
6603,14-05-2025,Unknown
17285,07-05-2023,Personal Reasons
45218,01-10-2022,Relocation
14522,26-04-2024,Unknown
5783,17-08-2025,Personal Reasons
34476,18-06-2025,Retirement
16826,04-10-2024,Retirement
11836,30-05-2020,Personal Reasons
49894,26-08-2025,Unknown
46410,22-04-2023,Personal Reasons
46147,20-08-2021,Unknown
14600,08-05-2023,Personal Reasons
13307,15-02-2019,Retirement
41364,04-02-2019,Retirement
46842,07-08-2021,Unknown
36636,06-03-2019,Unknown
25819,20-07-2025,Unknown
20559,12-10-2021,Retirement
1185,11-10-2024,Retirement
17273,04-07-2024,Personal Reasons
2148,03-04-2025,Relocation
32365,04-06-2025,Retirement
41618,08-02-2017,Better Opportunity
17733,27-08-2020,Better Opportunity
48798,27-08-2024,Relocation
25490,25-08-2024,Better Opportunity
43095,02-10-2025,Unknown
24681,04-07-2024,Unknown
17615,03-01-2025,Better Opportunity
40886,11-04-2023,Personal Reasons
33788,11-03-2025,Retirement
2298,08-07-2019,Better Opportunity
4828,19-07-2018,Better Opportunity
49845,06-02-2023,Retirement
33589,09-03-2025,Relocation
39684,18-03-2021,Personal Reasons
19508,07-10-2024,Better Opportunity
13859,10-03-2025,Relocation
22645,29-08-2021,Better Opportunity
15703,13-05-2025,Better Opportunity
1896,11-04-2025,Retirement
26700,02-06-2022,Personal Reasons
25593,23-04-2023,Retirement
29869,23-06-2023,Relocation
44576,15-01-2025,Personal Reasons
44440,10-05-2021,Unknown
6300,24-07-2025,Personal Reasons
3804,16-11-2019,Personal Reasons
2813,04-10-2025,Personal Reasons
16227,25-07-2018,Relocation
39612,12-02-2022,Relocation
44619,10-05-2025,Relocation
33646,12-09-2023,Retirement
6307,06-05-2017,Personal Reasons
1064,09-04-2023,Personal Reasons
22208,18-09-2025,Retirement
17221,12-04-2025,Relocation
18416,06-07-2025,Unknown
1986,29-09-2025,Unknown
29312,04-03-2022,Relocation
48386,13-04-2023,Personal Reasons
34655,05-11-2024,Better Opportunity
24227,16-02-2022,Relocation
46455,21-07-2019,Unknown
25282,16-02-2020,Better Opportunity
24649,10-08-2025,Relocation
49195,02-01-2025,Better Opportunity
3916,20-08-2025,Retirement
17953,22-04-2024,Unknown
44214,26-04-2025,Relocation
45877,07-05-2025,Personal Reasons
34698,10-06-2025,Personal Reasons
3330,21-08-2022,Personal Reasons
23599,08-05-2020,Unknown
17897,20-12-2024,Relocation
49406,19-07-2020,Retirement
25132,24-06-2025,Personal Reasons
24635,30-03-2021,Relocation
42261,27-11-2019,Retirement
44893,04-10-2025,Retirement
35397,11-12-2024,Retirement
1549,13-12-2023,Unknown
6379,08-07-2022,Retirement
25937,16-06-2019,Relocation
19167,20-05-2023,Personal Reasons
42727,24-10-2024,Retirement
35431,29-09-2023,Retirement
39557,05-05-2023,Better Opportunity
10150,06-09-2025,Relocation
32343,12-09-2023,Retirement
47717,27-04-2022,Unknown
32533,03-01-2025,Unknown
14094,04-01-2025,Personal Reasons
22144,24-01-2025,Better Opportunity
23530,19-06-2022,Unknown
23624,25-02-2024,Relocation
11992,04-04-2021,Personal Reasons
26862,26-05-2023,Unknown
15291,10-11-2023,Better Opportunity
25873,20-03-2025,Retirement
24526,21-12-2024,Retirement
24353,27-07-2024,Better Opportunity
1978,06-03-2022,Better Opportunity
29457,23-12-2021,Retirement
37222,09-08-2019,Unknown
3012,18-09-2025,Better Opportunity
32916,06-06-2023,Personal Reasons
41201,18-02-2023,Retirement
44523,24-03-2020,Relocation
27112,18-06-2025,Unknown
6732,11-10-2017,Better Opportunity
43346,11-03-2025,Retirement
5679,21-07-2023,Better Opportunity
44529,23-02-2024,Relocation
29400,28-09-2021,Better Opportunity
19090,25-08-2020,Relocation
8169,07-04-2025,Unknown
8451,01-03-2025,Retirement
23374,07-11-2023,Personal Reasons
46975,23-10-2023,Unknown
43494,28-08-2024,Unknown
4410,08-01-2025,Better Opportunity
43407,02-03-2025,Personal Reasons
17940,04-01-2024,Personal Reasons
16805,15-11-2021,Better Opportunity
16683,05-09-2016,Relocation
49029,08-01-2023,Relocation
29290,18-07-2025,Better Opportunity
26175,03-03-2021,Retirement
5966,26-02-2021,Relocation
34540,06-05-2024,Unknown
33902,28-01-2025,Personal Reasons
41601,09-04-2025,Better Opportunity
4374,22-07-2024,Retirement
39199,23-06-2017,Unknown
34584,04-08-2021,Unknown
39240,10-09-2025,Retirement
35376,10-02-2025,Better Opportunity
43917,16-03-2024,Unknown
18114,10-06-2023,Retirement
45274,07-02-2025,Relocation
21455,23-09-2019,Retirement
1136,27-07-2025,Personal Reasons
34199,29-03-2020,Relocation
28855,01-01-2024,Unknown
2593,02-10-2024,Unknown
43270,09-08-2023,Better Opportunity
24854,07-02-2018,Personal Reasons
11575,15-12-2024,Personal Reasons
31657,19-11-2024,Unknown
18193,27-10-2019,Better Opportunity
32683,10-03-2024,Better Opportunity
37664,19-06-2025,Unknown
2549,05-10-2024,Better Opportunity
26901,26-09-2025,Retirement
1354,17-03-2021,Personal Reasons
17644,27-12-2024,Better Opportunity
33405,31-07-2024,Unknown
18072,01-07-2018,Relocation
44716,02-12-2021,Relocation
36358,19-02-2022,Better Opportunity
2733,27-09-2025,Personal Reasons
33264,09-10-2025,Retirement
5825,26-09-2025,Better Opportunity
16727,08-03-2023,Better Opportunity
25750,28-09-2023,Retirement
4157,08-04-2022,Personal Reasons
28571,23-09-2024,Relocation
23869,06-08-2025,Retirement
21411,22-09-2023,Relocation
3028,26-12-2020,Personal Reasons
39054,08-12-2022,Personal Reasons
5449,08-03-2025,Retirement
1529,26-02-2023,Relocation
23772,11-10-2024,Relocation
6293,12-06-2024,Retirement
20787,15-09-2025,Unknown
38156,22-04-2023,Better Opportunity
1821,07-11-2020,Relocation
45653,30-07-2020,Retirement
35621,07-01-2024,Better Opportunity
17226,17-06-2025,Retirement
43792,12-07-2024,Better Opportunity
46959,12-02-2025,Retirement
45919,07-04-2023,Unknown
41980,05-06-2023,Unknown
19334,03-12-2024,Unknown
45642,04-05-2025,Better Opportunity
36995,12-10-2025,Better Opportunity
14447,25-04-2022,Retirement
11129,27-06-2023,Relocation
31689,08-01-2023,Better Opportunity
7402,31-03-2024,Relocation
29102,25-06-2019,Relocation
3048,25-12-2017,Retirement
45747,14-11-2024,Better Opportunity
44638,13-03-2024,Unknown
22634,24-07-2021,Personal Reasons
45632,31-07-2022,Relocation
46477,06-04-2020,Personal Reasons
2415,16-04-2021,Personal Reasons
17543,04-01-2024,Unknown
27733,12-06-2025,Personal Reasons
9600,01-05-2024,Better Opportunity
23403,25-08-2025,Unknown
10761,20-09-2024,Retirement
10321,05-09-2025,Retirement
36527,10-04-2024,Relocation
1660,02-12-2019,Relocation
49432,05-08-2023,Relocation
33031,28-01-2024,Personal Reasons
37568,10-02-2025,Personal Reasons
29631,01-03-2025,Relocation
33134,02-10-2024,Unknown
45290,30-07-2025,Unknown
1024,26-02-2020,Personal Reasons
2666,06-10-2025,Retirement
7289,20-10-2020,Personal Reasons
24938,08-08-2017,Unknown
25906,07-09-2019,Unknown
21211,20-06-2025,Personal Reasons
20412,18-12-2024,Relocation
18797,19-08-2023,Personal Reasons
20274,19-10-2023,Unknown
16088,28-10-2022,Relocation
4414,09-02-2024,Better Opportunity
36048,11-07-2024,Personal Reasons
19588,11-10-2025,Personal Reasons
33210,27-12-2024,Relocation
48957,23-11-2019,Retirement
6659,26-06-2023,Better Opportunity
2954,21-05-2025,Better Opportunity
31557,13-04-2021,Unknown
13640,25-07-2022,Unknown
33283,12-11-2020,Relocation
27983,08-09-2024,Relocation
17218,02-08-2024,Better Opportunity
24102,18-04-2024,Relocation
46873,26-12-2021,Better Opportunity
39002,29-06-2022,Retirement
10234,12-01-2024,Unknown
4780,05-10-2024,Retirement
18465,25-02-2025,Retirement
13228,14-07-2019,Better Opportunity
44197,23-11-2020,Retirement
36513,03-08-2025,Better Opportunity
49916,09-03-2022,Better Opportunity
1819,28-07-2016,Personal Reasons
883,21-03-2023,Better Opportunity
49337,26-03-2024,Relocation
24481,27-06-2021,Better Opportunity
33644,11-11-2024,Personal Reasons
35604,25-05-2023,Retirement
22913,24-09-2024,Unknown
13893,04-04-2024,Personal Reasons
20482,12-01-2024,Personal Reasons
4329,11-12-2020,Relocation
36142,25-02-2025,Retirement
45118,19-07-2025,Better Opportunity
41541,01-06-2021,Unknown
23055,12-12-2024,Unknown
31536,01-10-2025,Personal Reasons
36917,18-10-2024,Personal Reasons
34196,17-08-2025,Personal Reasons
5504,12-01-2025,Better Opportunity
4827,30-08-2023,Unknown
23822,10-02-2022,Unknown
14503,21-10-2024,Personal Reasons
20862,13-04-2025,Unknown
35928,06-03-2022,Unknown
23901,23-03-2016,Relocation
22617,12-07-2022,Relocation
41327,02-10-2023,Retirement
22285,21-08-2024,Personal Reasons
35365,24-04-2024,Unknown
27342,18-07-2021,Relocation
35835,21-05-2025,Unknown
5316,14-10-2021,Unknown
3984,19-08-2025,Retirement
47698,01-11-2022,Unknown
14615,03-08-2025,Relocation
9166,25-07-2025,Retirement
26173,15-04-2023,Personal Reasons
20053,28-04-2025,Personal Reasons
16024,02-01-2024,Retirement
28686,17-07-2017,Personal Reasons
23875,06-10-2020,Unknown
9383,16-01-2020,Relocation
29870,15-09-2022,Personal Reasons
39457,13-08-2018,Relocation
34815,05-12-2022,Unknown
5690,09-06-2024,Unknown
31628,05-01-2025,Retirement
44072,18-03-2025,Relocation
42455,12-10-2025,Better Opportunity
11410,04-02-2023,Relocation
20642,24-02-2020,Better Opportunity
47514,04-03-2025,Retirement
44324,21-09-2022,Personal Reasons
