Candidate_ID,Job_Role,Source,Application_Date,Hiring_Status,Joining_Date
56,Intern,LinkedIn,08-03-2024,Unknown,
57,Executive,LinkedIn,21-10-2024,Rejected,
58,Associate,LinkedIn,03-06-2023,Hired,Pending
59,Executive,Referral,11-09-2025,Unknown,
60,Executive,Job Portal,24-10-2024,Unknown,
61,Executive,LinkedIn,10-07-2025,Hired,16-03-2025
62,Analyst,LinkedIn,18-01-2024,Hired,Pending
63,Manager,Walk-in,15-11-2023,Hired,Pending
64,Intern,Referral,25-12-2023,Rejected,
65,Associate,Referral,14-10-2023,Unknown,
66,Intern,Referral,19-08-2023,Hired,30-08-2025
67,Analyst,LinkedIn,02-10-2023,Rejected,
68,Intern,LinkedIn,30-08-2025,Unknown,
69,Analyst,LinkedIn,22-12-2024,Rejected,
70,Intern,LinkedIn,25-08-2023,Unknown,
71,Manager,LinkedIn,03-03-2023,Unknown,
72,Intern,Job Portal,17-08-2023,Unknown,
73,Associate,LinkedIn,24-06-2025,Rejected,
74,Executive,LinkedIn,10-01-2023,Hired,Pending
75,Intern,LinkedIn,13-12-2022,Rejected,
76,Manager,LinkedIn,12-11-2023,Hired,01-01-2023
77,Manager,Job Portal,04-07-2023,Unknown,
78,Analyst,Referral,18-09-2023,Unknown,
79,Manager,LinkedIn,19-03-2024,Rejected,
80,Analyst,Referral,07-10-2024,Rejected,
81,Executive,Referral,23-02-2024,Rejected,
82,Analyst,Referral,04-01-2024,Unknown,
83,Associate,LinkedIn,17-12-2024,Hired,Pending
84,Manager,LinkedIn,10-02-2023,Hired,Pending
85,Associate,Job Portal,02-08-2023,Unknown,
86,Executive,Referral,10-10-2023,Unknown,
87,Analyst,Referral,02-12-2022,Rejected,
88,Manager,Job Portal,24-06-2025,Rejected,
89,Executive,Referral,30-10-2022,Rejected,
90,Associate,LinkedIn,14-04-2023,Rejected,
91,Intern,Walk-in,03-02-2023,Rejected,
92,Manager,Referral,26-01-2024,Hired,12-01-2025
93,Analyst,Job Portal,11-05-2025,Hired,24-01-2023
94,Intern,LinkedIn,31-05-2025,Hired,Pending
95,Associate,Referral,04-11-2023,Rejected,
96,Associate,LinkedIn,24-06-2025,Hired,04-03-2024
97,Executive,Walk-in,23-03-2023,Unknown,
98,Associate,Referral,18-02-2024,Unknown,
99,Analyst,Job Portal,27-11-2023,Hired,Pending
100,Manager,Referral,22-03-2024,Hired,19-03-2024
101,Manager,Job Portal,29-05-2024,Unknown,
102,Associate,LinkedIn,10-01-2024,Hired,21-07-2023
103,Analyst,Referral,14-04-2025,Unknown,
104,Manager,LinkedIn,02-07-2023,Unknown,
105,Intern,LinkedIn,12-03-2023,Hired,Pending
106,Intern,LinkedIn,27-05-2023,Unknown,
107,Executive,LinkedIn,03-12-2024,Hired,Pending
108,Manager,LinkedIn,29-01-2023,Unknown,
109,Executive,Walk-in,15-03-2025,Rejected,
110,Intern,Walk-in,14-03-2025,Hired,21-04-2024
111,Associate,LinkedIn,15-07-2023,Rejected,
112,Analyst,LinkedIn,14-02-2025,Rejected,
113,Analyst,LinkedIn,15-05-2023,Unknown,
114,Analyst,LinkedIn,28-05-2023,Hired,Pending
115,Executive,LinkedIn,04-10-2023,Rejected,
116,Manager,LinkedIn,20-01-2023,Rejected,
117,Intern,Referral,21-03-2024,Rejected,
118,Associate,Job Portal,13-01-2025,Rejected,
119,Manager,LinkedIn,15-09-2024,Hired,Pending
120,Manager,LinkedIn,14-06-2024,Unknown,
121,Executive,LinkedIn,20-04-2025,Rejected,
122,Intern,Walk-in,22-01-2024,Rejected,
123,Manager,Walk-in,07-10-2025,Hired,01-04-2023
124,Analyst,Walk-in,22-03-2023,Hired,Pending
125,Associate,LinkedIn,19-11-2023,Hired,12-05-2024
126,Intern,Referral,20-03-2023,Unknown,
127,Intern,Referral,01-08-2025,Rejected,
128,Analyst,Referral,06-12-2022,Hired,Pending
129,Intern,LinkedIn,06-04-2023,Hired,17-12-2022
130,Executive,Job Portal,18-08-2023,Unknown,
131,Executive,Walk-in,02-10-2025,Hired,31-01-2025
132,Executive,LinkedIn,25-05-2024,Unknown,
133,Analyst,LinkedIn,14-08-2025,Unknown,
134,Intern,Job Portal,03-02-2023,Rejected,
135,Executive,Walk-in,19-08-2023,Hired,Pending
136,Executive,Referral,22-03-2025,Hired,Pending
137,Intern,Referral,12-06-2024,Rejected,
138,Manager,Job Portal,02-10-2025,Rejected,
139,Analyst,Referral,30-03-2024,Hired,Pending
140,Manager,LinkedIn,04-01-2023,Hired,Pending
141,Manager,Walk-in,14-06-2023,Rejected,
142,Analyst,Referral,02-07-2025,Unknown,
143,Analyst,LinkedIn,29-10-2024,Hired,27-12-2023
144,Executive,LinkedIn,30-06-2023,Hired,19-09-2024
145,Intern,Referral,12-10-2024,Unknown,
146,Analyst,Job Portal,10-10-2023,Rejected,
147,Executive,Referral,05-11-2022,Hired,04-07-2024
148,Manager,LinkedIn,02-11-2023,Unknown,
149,Analyst,LinkedIn,08-12-2023,Rejected,
150,Associate,LinkedIn,23-07-2023,Unknown,
151,Intern,Referral,14-09-2025,Unknown,
152,Analyst,Walk-in,18-08-2023,Rejected,
153,Manager,Walk-in,25-01-2025,Unknown,
154,Executive,LinkedIn,11-09-2023,Hired,Pending
155,Associate,LinkedIn,26-11-2022,Unknown,
156,Analyst,Walk-in,13-02-2023,Hired,Pending
157,Associate,Job Portal,19-07-2025,Unknown,
158,Intern,Referral,15-06-2024,Rejected,
159,Intern,LinkedIn,22-04-2025,Unknown,
160,Executive,LinkedIn,25-03-2025,Unknown,
161,Executive,Job Portal,26-02-2023,Unknown,
162,Analyst,Walk-in,03-02-2023,Unknown,
163,Intern,LinkedIn,18-10-2022,Rejected,
164,Associate,LinkedIn,04-11-2023,Hired,10-12-2024
165,Intern,Referral,08-04-2024,Hired,Pending
166,Associate,LinkedIn,21-01-2025,Rejected,
167,Manager,Walk-in,27-03-2024,Rejected,
168,Associate,Walk-in,04-02-2025,Rejected,
169,Manager,LinkedIn,17-05-2024,Rejected,
170,Associate,Referral,12-07-2024,Rejected,
171,Intern,LinkedIn,04-02-2024,Rejected,
172,Associate,Job Portal,09-02-2023,Unknown,
173,Analyst,LinkedIn,15-03-2025,Rejected,
174,Analyst,Referral,13-08-2024,Rejected,
175,Analyst,Referral,01-05-2025,Hired,Pending
176,Executive,LinkedIn,04-03-2023,Hired,Pending
177,Associate,LinkedIn,17-09-2023,Unknown,
178,Intern,Walk-in,25-02-2024,Unknown,
179,Analyst,LinkedIn,19-03-2023,Unknown,
180,Manager,Walk-in,05-08-2024,Hired,14-07-2025
181,Manager,Referral,08-02-2025,Rejected,
182,Executive,Walk-in,13-01-2024,Unknown,
183,Analyst,LinkedIn,10-08-2024,Hired,26-05-2025
184,Executive,Job Portal,01-11-2023,Rejected,
185,Manager,LinkedIn,06-12-2023,Rejected,
186,Manager,LinkedIn,10-05-2023,Unknown,
187,Associate,Job Portal,24-03-2023,Unknown,
188,Associate,LinkedIn,14-01-2023,Rejected,
189,Manager,Walk-in,27-06-2023,Rejected,
190,Manager,LinkedIn,09-08-2024,Unknown,
191,Executive,LinkedIn,22-07-2024,Rejected,
192,Associate,Walk-in,03-10-2023,Rejected,
193,Analyst,Job Portal,17-10-2023,Hired,02-09-2024
194,Analyst,Walk-in,08-12-2022,Rejected,
195,Associate,Job Portal,17-06-2025,Unknown,
196,Analyst,Walk-in,10-10-2025,Hired,13-05-2023
197,Manager,Referral,12-04-2025,Unknown,
198,Intern,Walk-in,19-12-2024,Rejected,
199,Executive,LinkedIn,16-08-2025,Unknown,
200,Analyst,Walk-in,31-01-2023,Rejected,
201,Manager,Walk-in,13-03-2024,Hired,Pending
202,Associate,LinkedIn,30-07-2025,Hired,24-07-2024
203,Intern,Walk-in,28-09-2024,Unknown,
204,Executive,Walk-in,16-04-2023,Hired,04-08-2023
205,Associate,Walk-in,14-04-2025,Hired,Pending
206,Executive,LinkedIn,05-05-2023,Hired,16-11-2023
207,Intern,LinkedIn,06-09-2025,Rejected,
208,Manager,Job Portal,14-01-2024,Rejected,
209,Executive,Walk-in,28-08-2025,Unknown,
210,Executive,LinkedIn,18-09-2024,Unknown,
211,Intern,LinkedIn,15-11-2024,Unknown,
212,Manager,Referral,24-12-2024,Unknown,
213,Associate,Walk-in,22-09-2024,Hired,05-07-2024
214,Manager,Job Portal,01-02-2024,Rejected,
215,Manager,Job Portal,30-03-2023,Hired,04-01-2024
216,Associate,Walk-in,05-10-2024,Rejected,
217,Analyst,Referral,31-12-2022,Rejected,
218,Intern,Referral,02-10-2023,Rejected,
219,Executive,LinkedIn,20-04-2024,Hired,Pending
220,Manager,Referral,31-01-2023,Unknown,
221,Intern,Walk-in,30-04-2025,Rejected,
222,Intern,LinkedIn,20-12-2023,Rejected,
223,Associate,LinkedIn,16-11-2024,Hired,21-01-2024
224,Manager,Walk-in,01-08-2025,Unknown,
225,Associate,Walk-in,02-03-2025,Rejected,
226,Intern,LinkedIn,16-12-2023,Unknown,
227,Intern,LinkedIn,17-08-2025,Unknown,
228,Associate,LinkedIn,22-12-2023,Hired,Pending
229,Intern,LinkedIn,27-09-2025,Rejected,
230,Associate,Referral,27-01-2024,Rejected,
231,Intern,Referral,09-04-2023,Unknown,
232,Analyst,LinkedIn,01-03-2025,Rejected,
233,Intern,Referral,28-07-2025,Rejected,
234,Intern,Walk-in,15-02-2024,Rejected,
235,Associate,LinkedIn,03-08-2025,Rejected,
236,Executive,Walk-in,14-02-2024,Rejected,
237,Analyst,LinkedIn,19-06-2024,Hired,Pending
238,Executive,LinkedIn,24-10-2024,Unknown,
239,Intern,Walk-in,19-02-2024,Rejected,
240,Analyst,LinkedIn,08-02-2023,Unknown,
241,Intern,Referral,09-12-2022,Hired,20-06-2023
242,Intern,Walk-in,15-02-2024,Unknown,
243,Executive,Referral,13-05-2023,Rejected,
244,Intern,LinkedIn,08-07-2024,Hired,Pending
245,Intern,Job Portal,04-11-2024,Unknown,
246,Associate,LinkedIn,01-07-2025,Unknown,
247,Intern,Job Portal,27-07-2024,Rejected,
248,Analyst,Job Portal,13-07-2024,Hired,Pending
249,Analyst,LinkedIn,06-09-2025,Hired,Pending
250,Associate,Job Portal,15-10-2023,Rejected,
251,Intern,LinkedIn,18-06-2023,Unknown,
252,Associate,LinkedIn,20-05-2025,Hired,06-05-2024
253,Associate,LinkedIn,12-05-2023,Rejected,
254,Analyst,LinkedIn,30-12-2024,Hired,Pending
255,Manager,Referral,21-10-2023,Unknown,
256,Analyst,Walk-in,15-10-2022,Rejected,
257,Executive,LinkedIn,15-06-2024,Hired,26-01-2024
258,Associate,Job Portal,09-01-2025,Hired,14-03-2024
259,Intern,LinkedIn,08-05-2025,Rejected,
260,Manager,LinkedIn,18-05-2024,Hired,Pending
261,Manager,LinkedIn,09-11-2022,Unknown,
262,Analyst,LinkedIn,29-08-2024,Rejected,
263,Associate,LinkedIn,09-07-2024,Rejected,
264,Executive,LinkedIn,29-11-2024,Unknown,
265,Manager,Walk-in,12-10-2025,Hired,18-11-2024
266,Executive,Job Portal,09-10-2025,Unknown,
267,Intern,Job Portal,02-01-2023,Hired,Pending
268,Associate,Walk-in,20-11-2023,Hired,27-11-2022
269,Executive,Referral,06-12-2024,Hired,17-04-2024
270,Associate,LinkedIn,11-09-2025,Unknown,
271,Associate,Job Portal,16-06-2025,Unknown,
272,Associate,Walk-in,03-05-2025,Hired,04-06-2025
273,Analyst,Walk-in,05-04-2024,Unknown,
274,Associate,Referral,14-12-2023,Hired,10-09-2024
275,Associate,LinkedIn,16-01-2023,Hired,Pending
276,Intern,LinkedIn,02-05-2023,Rejected,
277,Executive,Walk-in,10-06-2024,Hired,01-07-2023
278,Manager,Referral,04-01-2024,Rejected,
279,Associate,Walk-in,16-01-2024,Rejected,
280,Manager,LinkedIn,23-11-2022,Rejected,
281,Associate,LinkedIn,27-11-2023,Hired,Pending
282,Executive,Referral,25-01-2023,Hired,Pending
283,Intern,LinkedIn,18-09-2023,Unknown,
284,Manager,LinkedIn,28-01-2024,Unknown,
285,Intern,LinkedIn,14-07-2023,Unknown,
286,Executive,Walk-in,01-03-2024,Unknown,
287,Associate,Walk-in,24-01-2024,Rejected,
288,Associate,LinkedIn,02-07-2023,Rejected,
289,Executive,LinkedIn,05-01-2024,Hired,21-03-2023
290,Executive,LinkedIn,26-03-2025,Rejected,
291,Intern,Walk-in,13-04-2024,Hired,07-04-2024
292,Manager,Referral,01-07-2024,Unknown,
293,Associate,Referral,22-10-2022,Rejected,
294,Associate,LinkedIn,05-12-2022,Unknown,
295,Intern,Walk-in,28-06-2023,Hired,31-05-2025
296,Analyst,Job Portal,16-06-2023,Hired,01-09-2025
297,Executive,LinkedIn,04-10-2025,Unknown,
298,Analyst,LinkedIn,17-09-2025,Rejected,
299,Intern,LinkedIn,07-10-2025,Unknown,
300,Executive,Referral,09-01-2023,Unknown,
301,Associate,Referral,04-09-2023,Rejected,
302,Associate,LinkedIn,25-03-2025,Hired,Pending
303,Intern,Walk-in,15-12-2024,Hired,Pending
304,Manager,Walk-in,12-11-2024,Rejected,
305,Executive,LinkedIn,15-09-2025,Hired,Pending
306,Associate,Job Portal,20-02-2024,Unknown,
307,Analyst,Walk-in,30-08-2024,Hired,22-09-2024
308,Analyst,Job Portal,26-10-2022,Unknown,
309,Associate,LinkedIn,09-05-2024,Rejected,
310,Manager,Walk-in,17-05-2024,Unknown,
311,Intern,LinkedIn,14-07-2024,Hired,24-09-2023
312,Intern,LinkedIn,03-06-2023,Unknown,
313,Executive,Job Portal,16-07-2025,Unknown,
314,Intern,LinkedIn,09-12-2022,Unknown,
315,Manager,LinkedIn,17-02-2025,Unknown,
316,Manager,LinkedIn,14-04-2025,Hired,05-09-2025
317,Executive,Job Portal,10-07-2023,Unknown,
318,Manager,Job Portal,07-08-2024,Unknown,
319,Executive,LinkedIn,05-03-2024,Unknown,
320,Associate,Job Portal,02-12-2022,Hired,01-08-2023
321,Manager,Referral,23-04-2025,Rejected,
322,Manager,Job Portal,16-10-2022,Hired,06-08-2023
323,Intern,Referral,28-05-2023,Unknown,
324,Manager,Referral,16-11-2023,Hired,Pending
325,Intern,Job Portal,13-03-2023,Hired,Pending
326,Manager,LinkedIn,11-12-2023,Hired,23-03-2025
327,Analyst,LinkedIn,09-07-2024,Rejected,
328,Associate,Walk-in,21-06-2025,Rejected,
329,Analyst,Walk-in,14-03-2024,Unknown,
330,Executive,Referral,05-10-2025,Rejected,
331,Associate,LinkedIn,25-05-2024,Unknown,
332,Associate,Walk-in,02-03-2023,Hired,25-07-2025
333,Manager,LinkedIn,30-12-2023,Rejected,
334,Intern,Referral,04-04-2025,Hired,01-05-2023
335,Manager,Walk-in,15-02-2023,Unknown,
336,Intern,LinkedIn,07-02-2023,Rejected,
337,Executive,LinkedIn,24-07-2025,Hired,14-06-2023
338,Executive,Referral,14-11-2023,Unknown,
339,Executive,Job Portal,18-12-2023,Hired,22-06-2023
340,Executive,Referral,12-11-2023,Unknown,
341,Intern,Referral,16-05-2024,Unknown,
342,Associate,Referral,02-05-2025,Unknown,
343,Associate,LinkedIn,15-06-2025,Unknown,
344,Associate,Job Portal,03-02-2023,Rejected,
345,Manager,LinkedIn,27-05-2025,Unknown,
346,Analyst,Referral,31-07-2023,Unknown,
347,Associate,LinkedIn,19-11-2022,Rejected,
348,Analyst,LinkedIn,13-12-2023,Unknown,
349,Analyst,LinkedIn,30-03-2024,Hired,Pending
350,Intern,Referral,07-12-2022,Hired,08-12-2024
351,Manager,Referral,03-01-2023,Hired,Pending
352,Analyst,Job Portal,12-11-2022,Unknown,
353,Analyst,Job Portal,11-02-2023,Hired,30-06-2023
354,Analyst,Referral,22-11-2022,Hired,Pending
355,Executive,LinkedIn,14-02-2023,Hired,Pending
356,Executive,Referral,09-06-2025,Rejected,
357,Associate,LinkedIn,24-08-2023,Rejected,
358,Analyst,LinkedIn,19-03-2023,Unknown,
359,Manager,Walk-in,14-01-2024,Rejected,
360,Executive,Job Portal,10-09-2024,Rejected,
361,Analyst,Job Portal,27-10-2022,Hired,03-10-2024
362,Manager,Job Portal,19-01-2024,Hired,05-07-2025
363,Executive,Walk-in,17-07-2023,Unknown,
364,Manager,Referral,27-02-2025,Hired,Pending
365,Associate,Walk-in,18-08-2024,Unknown,
366,Analyst,LinkedIn,05-03-2024,Hired,Pending
367,Executive,LinkedIn,01-05-2023,Rejected,
368,Associate,Walk-in,01-12-2024,Unknown,
369,Analyst,LinkedIn,16-10-2022,Unknown,
370,Analyst,LinkedIn,01-11-2022,Unknown,
371,Analyst,Referral,12-08-2025,Hired,Pending
372,Analyst,Job Portal,30-05-2024,Rejected,
373,Associate,Referral,22-10-2022,Rejected,
374,Associate,Walk-in,29-04-2023,Unknown,
375,Associate,Walk-in,28-04-2025,Hired,29-04-2024
376,Associate,LinkedIn,25-06-2025,Rejected,
377,Manager,LinkedIn,20-12-2024,Unknown,
378,Executive,Job Portal,24-06-2025,Unknown,
379,Executive,Walk-in,19-10-2022,Hired,Pending
380,Executive,Walk-in,29-04-2023,Rejected,
381,Intern,Job Portal,10-12-2023,Rejected,
382,Executive,Job Portal,19-10-2022,Unknown,
383,Manager,LinkedIn,13-06-2023,Rejected,
384,Associate,Job Portal,23-05-2023,Rejected,
385,Intern,Job Portal,01-12-2023,Hired,30-06-2025
386,Manager,Walk-in,21-11-2023,Hired,17-02-2023
387,Analyst,LinkedIn,19-08-2025,Unknown,
388,Intern,LinkedIn,02-01-2024,Rejected,
389,Intern,LinkedIn,14-08-2023,Unknown,
390,Analyst,Job Portal,06-06-2024,Hired,Pending
391,Executive,Referral,29-12-2022,Hired,29-10-2022
392,Associate,Walk-in,27-10-2022,Hired,05-11-2023
393,Manager,LinkedIn,02-05-2023,Hired,05-07-2024
394,Manager,Walk-in,15-03-2025,Rejected,
395,Intern,LinkedIn,17-04-2023,Unknown,
396,Executive,Referral,08-08-2024,Unknown,
397,Analyst,LinkedIn,18-08-2023,Hired,Pending
398,Intern,LinkedIn,13-11-2022,Rejected,
399,Associate,LinkedIn,18-12-2024,Hired,27-03-2023
400,Manager,LinkedIn,29-11-2022,Unknown,
401,Associate,Job Portal,23-01-2025,Rejected,
402,Manager,Referral,29-02-2024,Hired,18-07-2023
403,Associate,Referral,27-12-2022,Hired,Pending
404,Manager,Walk-in,10-04-2025,Hired,25-08-2025
405,Executive,LinkedIn,04-03-2023,Hired,29-08-2025
406,Intern,Walk-in,20-11-2024,Rejected,
407,Intern,LinkedIn,05-06-2023,Hired,Pending
408,Manager,Referral,18-09-2023,Rejected,
409,Associate,Referral,09-07-2023,Unknown,
410,Analyst,Walk-in,01-09-2025,Hired,17-02-2025
411,Intern,Job Portal,13-03-2024,Hired,25-06-2025
412,Analyst,Walk-in,01-11-2022,Hired,01-06-2023
413,Intern,Job Portal,02-04-2024,Hired,Pending
414,Analyst,Referral,15-04-2024,Hired,Pending
415,Executive,Walk-in,06-01-2023,Rejected,
416,Intern,Walk-in,28-05-2024,Hired,01-10-2025
417,Manager,LinkedIn,27-02-2024,Unknown,
418,Analyst,Referral,21-07-2024,Rejected,
419,Executive,LinkedIn,13-04-2025,Hired,11-06-2023
420,Intern,Referral,05-12-2022,Rejected,
421,Analyst,LinkedIn,05-12-2022,Rejected,
422,Associate,Walk-in,22-06-2025,Unknown,
423,Manager,Walk-in,15-03-2025,Rejected,
424,Executive,Walk-in,10-10-2024,Hired,Pending
425,Executive,LinkedIn,28-12-2024,Hired,Pending
426,Analyst,Job Portal,02-06-2024,Hired,05-07-2024
427,Intern,LinkedIn,11-03-2023,Rejected,
428,Associate,Job Portal,10-12-2023,Hired,20-10-2024
429,Analyst,LinkedIn,22-08-2025,Unknown,
430,Manager,Referral,20-07-2025,Hired,20-02-2024
431,Executive,Referral,28-02-2023,Hired,Pending
432,Intern,Referral,16-06-2025,Unknown,
433,Analyst,LinkedIn,07-07-2023,Unknown,
434,Intern,LinkedIn,06-01-2024,Hired,23-06-2025
435,Associate,Referral,12-04-2024,Unknown,
436,Executive,LinkedIn,10-07-2023,Rejected,
437,Executive,LinkedIn,11-02-2025,Hired,17-04-2024
438,Analyst,Job Portal,03-12-2023,Hired,19-11-2024
439,Associate,Job Portal,27-12-2023,Rejected,
440,Executive,Walk-in,08-07-2024,Rejected,
441,Analyst,Walk-in,26-11-2023,Rejected,
442,Manager,Walk-in,30-07-2024,Hired,15-08-2023
443,Associate,LinkedIn,01-04-2024,Rejected,
444,Associate,LinkedIn,13-06-2023,Hired,Pending
445,Analyst,Job Portal,14-09-2023,Rejected,
446,Executive,LinkedIn,23-11-2024,Hired,Pending
447,Intern,Job Portal,23-11-2022,Unknown,
448,Analyst,Referral,21-12-2024,Hired,10-11-2024
449,Manager,Referral,09-09-2024,Rejected,
450,Associate,Walk-in,26-09-2023,Hired,Pending
451,Analyst,LinkedIn,14-03-2024,Unknown,
452,Intern,Referral,26-07-2023,Rejected,
453,Associate,LinkedIn,27-11-2022,Hired,14-12-2024
454,Executive,LinkedIn,21-10-2023,Rejected,
455,Associate,Referral,27-07-2024,Unknown,
456,Executive,Referral,19-09-2025,Hired,12-09-2025
457,Executive,LinkedIn,26-09-2024,Rejected,
458,Manager,Job Portal,29-08-2024,Hired,30-08-2023
459,Associate,Referral,19-07-2024,Hired,02-08-2023
460,Intern,Walk-in,06-07-2024,Hired,31-03-2025
461,Executive,Referral,25-09-2024,Rejected,
462,Associate,LinkedIn,30-05-2025,Unknown,
463,Associate,LinkedIn,15-06-2023,Hired,27-03-2023
464,Associate,Walk-in,06-07-2025,Rejected,
465,Manager,LinkedIn,06-04-2024,Hired,Pending
466,Manager,LinkedIn,14-03-2025,Hired,02-12-2023
467,Associate,Job Portal,18-05-2025,Rejected,
468,Intern,LinkedIn,14-12-2024,Hired,Pending
469,Manager,LinkedIn,10-09-2025,Rejected,
470,Manager,Job Portal,29-04-2024,Unknown,
471,Executive,LinkedIn,26-05-2024,Unknown,
472,Intern,LinkedIn,03-08-2025,Unknown,
473,Analyst,LinkedIn,02-05-2024,Unknown,
474,Analyst,Walk-in,18-05-2023,Rejected,
475,Intern,Referral,08-06-2024,Rejected,
476,Analyst,Job Portal,22-06-2024,Hired,31-03-2024
477,Manager,Job Portal,17-02-2025,Hired,11-06-2024
478,Executive,LinkedIn,10-04-2024,Unknown,
479,Intern,Job Portal,29-04-2023,Rejected,
480,Manager,Walk-in,12-04-2024,Rejected,
481,Associate,Job Portal,11-02-2025,Unknown,
482,Analyst,Walk-in,12-06-2024,Unknown,
483,Intern,LinkedIn,10-09-2024,Unknown,
484,Executive,Referral,15-04-2024,Rejected,
485,Associate,Referral,16-04-2023,Hired,Pending
486,Analyst,Job Portal,11-03-2023,Hired,Pending
487,Analyst,LinkedIn,30-09-2024,Unknown,
488,Manager,LinkedIn,25-11-2024,Unknown,
489,Associate,LinkedIn,13-06-2023,Unknown,
490,Intern,LinkedIn,16-10-2024,Hired,09-08-2023
491,Executive,LinkedIn,13-11-2023,Rejected,
492,Associate,Referral,16-03-2024,Hired,26-06-2024
493,Associate,LinkedIn,20-06-2025,Hired,Pending
494,Intern,Walk-in,26-11-2022,Unknown,
495,Analyst,LinkedIn,16-06-2024,Unknown,
496,Executive,Referral,04-03-2024,Rejected,
497,Analyst,Referral,09-08-2025,Rejected,
498,Manager,Referral,19-08-2023,Unknown,
499,Manager,Job Portal,06-02-2023,Rejected,
500,Manager,LinkedIn,08-12-2023,Hired,Pending
501,Intern,Walk-in,07-05-2024,Unknown,
502,Executive,Job Portal,20-09-2024,Hired,Pending
503,Analyst,LinkedIn,09-01-2023,Unknown,
504,Executive,Referral,09-05-2023,Unknown,
505,Analyst,Walk-in,20-11-2023,Unknown,
506,Manager,LinkedIn,10-10-2024,Unknown,
507,Intern,Job Portal,28-09-2025,Hired,Pending
508,Associate,LinkedIn,11-06-2024,Hired,30-01-2025
509,Executive,LinkedIn,05-10-2023,Hired,01-03-2025
510,Associate,Walk-in,30-08-2024,Hired,05-04-2024
511,Analyst,Referral,17-12-2024,Hired,22-10-2022
512,Intern,LinkedIn,25-02-2023,Hired,Pending
513,Intern,Referral,27-07-2025,Rejected,
514,Intern,Job Portal,19-10-2023,Rejected,
515,Intern,Referral,04-07-2025,Rejected,
516,Intern,LinkedIn,26-03-2025,Hired,27-01-2023
517,Executive,Referral,04-03-2023,Rejected,
518,Manager,Walk-in,07-01-2025,Unknown,
519,Intern,LinkedIn,06-06-2025,Rejected,
520,Manager,Walk-in,24-09-2024,Rejected,
521,Associate,Job Portal,21-11-2024,Rejected,
522,Intern,Referral,02-09-2024,Unknown,
523,Executive,Job Portal,23-06-2024,Rejected,
524,Analyst,Job Portal,09-08-2025,Unknown,
525,Manager,LinkedIn,05-04-2025,Unknown,
